Final Model,Variable,Class,Coefficient,WOE,Score Points,Count,Good Count,Bad Count,Bad Rate,IV
acc_open_past_24mths,acc_open_past_24mths,"(-inf, 1.50)",-1.0742432129680333,0.4489790174610262,34.79150430092904,77075.0,66498.0,10577.0,0.1372299708076549,0.016586728404092067
acc_open_past_24mths,acc_open_past_24mths,"[1.50, 2.50)",-1.0742432129680333,0.3384978484028853,26.230288923438398,99057.0,84115.0,14942.0,0.15084244424927062,0.012557575690466161
acc_open_past_24mths,acc_open_past_24mths,"[2.50, 3.50)",-1.0742432129680333,0.19669502609435008,15.241950247545738,120758.0,100239.0,20519.0,0.16991834909488399,0.005407101781111242
acc_open_past_24mths,acc_open_past_24mths,"[3.50, 4.50)",-1.0742432129680333,0.07218345419755412,5.593515196705421,120271.0,97635.0,22636.0,0.18820829626426985,0.0007537957205973201
acc_open_past_24mths,acc_open_past_24mths,"[4.50, 5.50)",-1.0742432129680333,-0.01767604628692565,-1.3697215604699786,105959.0,84521.0,21438.0,0.2023235402372616,4.091964121823196e-05
acc_open_past_24mths,acc_open_past_24mths,"[5.50, 6.50)",-1.0742432129680333,-0.11197761179648613,-8.67717512603669,84617.0,66173.0,18444.0,0.21797038420175616,0.0013484619730111688
acc_open_past_24mths,acc_open_past_24mths,"[6.50, 7.50)",-1.0742432129680333,-0.20614420111553522,-15.974169350453662,64121.0,49088.0,15033.0,0.23444737293554374,0.003557975125044997
acc_open_past_24mths,acc_open_past_24mths,"[7.50, 8.50)",-1.0742432129680333,-0.29107369636736635,-22.555378681881518,45722.0,34290.0,11432.0,0.25003280696382485,0.005179219032911337
acc_open_past_24mths,acc_open_past_24mths,"[8.50, 10.50)",-1.0742432129680333,-0.38285075227662757,-29.667207322450096,52725.0,38614.0,14111.0,0.2676339497392129,0.01059109548424304
acc_open_past_24mths,acc_open_past_24mths,"[10.50, inf)",-1.0742432129680333,-0.5649211379693442,-43.775890268752434,43046.0,29926.0,13120.0,0.3047902244110951,0.019715510908153572
acc_open_past_24mths,acc_open_past_24mths,Special,-1.0742432129680333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acc_open_past_24mths,acc_open_past_24mths,Missing,-1.0742432129680333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acc_open_past_24mths,acc_open_past_24mths,,-1.0742432129680333,,,813351.0,651099.0,162252.0,0.1994858308405596,0.07573838376084914
mort_acc,mort_acc,"(-inf, 0.50)",-0.7603444655403347,-0.21104082295371485,-11.575010779550981,311345.0,238077.0,73268.0,0.23532736995936984,0.018131591925922414
mort_acc,mort_acc,"[0.50, 1.50)",-0.7603444655403347,-0.020732313065296104,-1.1371105545227114,143119.0,114092.0,29027.0,0.20281723600640028,7.610504094143712e-05
mort_acc,mort_acc,"[1.50, 2.50)",-0.7603444655403347,0.10474333726577645,5.744884998877252,120005.0,98010.0,21995.0,0.18328402983209033,0.0015679418784017448
mort_acc,mort_acc,"[2.50, 3.50)",-0.7603444655403347,0.20501065704104304,11.244272704970191,89897.0,74727.0,15170.0,0.16874867904379456,0.0043614025797050855
mort_acc,mort_acc,"[3.50, 5.50)",-0.7603444655403347,0.2801429419455499,15.365072631213344,102139.0,85953.0,16186.0,0.1584703198582324,0.00903566936893189
mort_acc,mort_acc,"[5.50, inf)",-0.7603444655403347,0.417372176608257,22.891720074389482,46846.0,40240.0,6606.0,0.1410152414293643,0.008801858810560973
mort_acc,mort_acc,Special,-0.7603444655403347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mort_acc,mort_acc,Missing,-0.7603444655403347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mort_acc,mort_acc,,-0.7603444655403347,,,813351.0,651099.0,162252.0,0.1994858308405596,0.041974569604463545
purpose,purpose,['educational' 'wedding' 'car' 'credit_card'],-0.7823431703815047,0.22049508998853828,12.443448707086654,190110.0,158440.0,31670.0,0.16658776497817054,0.01061732639092077
purpose,purpose,['home_improvement' 'major_purchase'],-0.7823431703815047,0.12235676591017874,6.905097708286667,66450.0,54445.0,12005.0,0.18066215199398045,0.0011783339673610473
purpose,purpose,['vacation' 'debt_consolidation'],-0.7823431703815047,-0.07120464431955931,-4.018372197507177,491108.0,387435.0,103673.0,0.2111002060646538,0.0031269583780466135
purpose,purpose,['other' 'medical' 'renewable_energy' 'house' 'moving' 'small_business'],-0.7823431703815047,-0.16365777222372757,-9.235884092874286,65683.0,50779.0,14904.0,0.22690802795243822,0.0022695135583649874
purpose,purpose,Special,-0.7823431703815047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,purpose,Missing,-0.7823431703815047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,purpose,,-0.7823431703815047,,,813351.0,651099.0,162252.0,0.1994858308405596,0.017192132294693418
home_ownership,home_ownership,['NONE' 'MORTGAGE'],-0.7565484988260434,0.179271885897742,9.78348321694724,418261.0,346157.0,72104.0,0.1723899670301558,0.01564240323984285
home_ownership,home_ownership,['OWN'],-0.7565484988260434,-0.03307418851412969,-1.80497218859353,81037.0,64439.0,16598.0,0.20482002048447007,0.00011007328360341681
home_ownership,home_ownership,['OTHER' 'RENT' 'ANY'],-0.7565484988260434,-0.20474390578158563,-11.173578924299138,314053.0,240503.0,73550.0,0.2341961388682802,0.017183566806618075
home_ownership,home_ownership,Special,-0.7565484988260434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_ownership,home_ownership,Missing,-0.7565484988260434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_ownership,home_ownership,,-0.7565484988260434,,,813351.0,651099.0,162252.0,0.1994858308405596,0.03293604333006434
term,term,[' 36 months'],-0.9275550537462313,0.31486807965728647,21.067493797893984,605260.0,512114.0,93146.0,0.1538941942305786,0.06689546996673354
term,term,[' 60 months'],-0.9275550537462313,-0.6907865662603334,-46.21980645417665,208091.0,138985.0,69106.0,0.33209509301219176,0.1467614375105544
term,term,Special,-0.9275550537462313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term,term,Missing,-0.9275550537462313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term,term,,-0.9275550537462313,,,813351.0,651099.0,162252.0,0.1994858308405596,0.21365690747728794
